Director_ID,Name,Country,Birth_Year,Death_Year
396,alexandro jodorowsky,,,
397,danny devito,,,
398,gabor csupo,,,
399,kenneth branagh,,,
400,david yates,,,
401,nicolas roeg,,,
402,alfonso cuarón,,,
403,kevin lima,,,
404,robert stevenson,,,
405,david lowery,,,
406,j.a. bayona,,,
407,ash brannon,,,
408,john lasseter,,,
409,andrew stanton,,,
410,chris sanders,,,
411,pete docter,,,
412,lee unkrich,,,
413,byron howard,,,
414,josh cooley,,,
415,brad bird,,,
416,john musker,,,
417,don hall,,,
418,sarah smith,,,
419,eric darnell,,,
420,dean deblois,,,
421,chris buck,,,
422,nathan greno,,,
423,chris williams,,,
424,dan scanlon,,,
425,steve martino,,,
426,rich moore,,,
427,john stevenson,,,
428,david soren,,,
429,pierre perifel,,,
430,jennifer yuh nelson,,,
431,chris miller,,,
432,jorge r. gutierrez,,,
433,conrad vernon,,,
434,jill culton,,,
435,chris renaud,,,
436,mark andrews,,,
437,chris wedge,,,
438,joel crawford,,,
439,peter sohn,,,
440,karey kirkpatrick,,,
441,tim johnson,,,
442,mike mitchell,,,
443,peter ramsey,,,
444,rob letterman,,,
445,david bowers,,,
446,thurop van orman,,,
447,tom mcgrath,,,
448,carlos saldanha,,,
449,garth jennings,,,
450,brian fee,,,
451,stephen anderson,,,
452,nicholas stoller,,,
453,eric leighton,,,
454,genndy tartakovsky,,,
455,john a. davis,,,
456,kelly asbury,,,
457,kristian levring,,,
458,mateo gil,,,
459,antoine fuqua,,,
460,jim jarmusch,,,
461,robert redford,,,
462,lawrence kasdan,,,
463,scott cooper,,,
464,george p. cosmatos,,,
465,emma tammi,,,
466,tom dey,,,
467,kevin costner,,,
468,tommy lee jones,,,
469,kelly reichardt,,,
470,john hillcoat,,,
471,,,,
472,henry hathaway,,,
473,elliot silverstein,,,
474,jacques audiard,,,
475,john maclean,,,
476,john ford,,,
477,taylor sheridan,,,
478,warwick thornton,,,
479,george stevens,,,
480,howard hawks,,,
481,fred zinnemann,,,
482,robert wise,,,
483,william wyler,,,
484,fred mcleod wilcox,,,
485,terrence malick,,,
486,peter berg,,,
487,howard zieff,,,
488,david ayer,,,
489,david fincher,,,
490,m. night shyamalan,,,
491,paul haggis,,,
492,nisha ganatra,,,
493,sam mendes,,,
494,scott z. burns,,,
495,edward zwick,,,
496,dominic cooke,,,
497,wayne wang,,,
498,miguel arteta,,,
499,zach braff,,,
500,benh zeitlin,,,
501,oliver stone,,,
502,paul downs colaizzo,,,
503,thor freudenthal,,,
504,craig zobel,,,
505,lynne ramsay,,,
506,neill blomkamp,,,
507,pawel pawlikowski,,,
508,stanley donen,,,
509,alma har'el,,,
510,sean baker,,,
511,whit stillman,,,
512,kenneth lonergan,,,
513,darius marder,,,
514,michael showalter,,,
515,grant sputore,,,
516,paul thomas anderson,,,
517,james franco,,,
518,sean foley,,,
519,cary joji fukunaga,,,
520,benny safdie,,,
521,boots riley,,,
522,lynn shelton,,,
523,maggie gyllenhaal,,,
524,noah baumbach,,,
525,dan gilroy,,,
526,dee rees,,,
527,taika waititi,,,
528,jehane noujaim,,,
529,juan piquer simon,,,
530,george mihalka,,,
531,christopher landon,,,
532,sean s. cunningham,,,
533,andreas fontana,,,
534,stuart rosenberg,,,
535,debra granik,,,
536,jasmila zbanic,,,
537,steven zaillian,,,
538,mark sandrich,,,
